date,open,high,low,close,volume,ret1,fwd_ret1,rsi14,macd,macd_hist,bb_pctb,dev25,stoch_k,stoch_d,adx,roc10,ma_gap_5_25,ma_gap_25_75,us_ret,jpy_ret,fut_premium,nikkei_vi,nikkei_vi_chg,vix,vix_chg,dow,key
2025-09-10,43513.16016,43848.76953,43509.01953,43837.67188,115700000,0.00871,0.01220,64.80205,518.45075,24.72692,0.95056,2.68019,85.19252,81.52150,22.70385,3.09829,1.43945,5.59832,0.26882,-0.66062,0.14218,,,15.04000,-0.46327,2,up|high|pos
2025-09-11,43876.21875,44396.94922,43870.53906,44372.50000,107300000,0.01220,0.00892,68.33299,591.52897,78.24411,1.06817,3.58569,99.04561,84.44436,23.81811,3.60438,1.93734,5.72048,0.29835,0.01900,0.85075,,,15.35000,2.06117,3,up|high|pos
2025-09-12,44803.30078,44888.01953,44548.57031,44768.12109,124900000,0.00892,0.00300,70.67637,673.60244,128.25406,1.09398,4.14855,96.03618,93.42477,25.28321,4.79805,2.39946,5.84124,0.84859,-0.04071,-0.20801,,,14.71000,-4.16938,4,up|hot|pos
2025-09-16,44948.85156,45055.37891,44616.32031,44902.26953,111700000,0.00300,-0.00249,71.44792,740.92993,156.46525,1.04812,4.16192,95.20361,96.76180,26.78127,6.43176,2.69050,5.91981,0.47066,0.30022,-0.33911,,,15.69000,6.66213,1,up|hot|pos
2025-09-17,44751.83984,45033.33984,44612.07031,44790.37891,104600000,-0.00249,0.01145,69.79830,776.31000,153.47625,0.95379,3.70296,91.13353,94.12444,28.16244,5.86117,3.10980,5.88670,-0.12879,-0.17675,0.01032,,,16.36000,4.27024,2,up|high|pos
2025-09-18,44910.50000,45508.67188,44815.39844,45303.42969,113700000,0.01145,-0.00569,72.88921,836.10972,170.62077,1.00117,4.69412,92.46854,92.93523,29.83846,8.02248,3.59389,5.81473,-0.09702,-0.67298,1.10714,,,15.72000,-3.91198,3,up|hot|pos
2025-09-19,45634.28906,45852.75000,44495.46094,45045.80859,208600000,-0.00569,0.00994,69.06686,852.88206,149.91449,0.88534,3.86866,67.84033,83.81414,31.64982,5.79033,3.67542,5.78704,0.47891,0.32648,0.48660,,,15.70000,-0.12723,4,up|high|pos
2025-09-22,45193.76953,45757.73828,45193.76953,45493.66016,116600000,0.00994,0.00300,71.83225,892.02938,151.24945,0.92633,4.69707,85.03800,81.78229,33.33180,5.75310,3.80748,5.72708,0.48854,0.71890,0.48653,,,15.45000,-1.59236,0,up|hot|pos
2025-09-24,45484.41016,45693.28125,45205.46875,45630.30859,131700000,0.00300,0.00273,72.63609,923.43551,146.12447,0.90008,4.82666,90.50909,81.12914,34.89363,4.55162,3.95921,5.63679,-0.55022,-0.24984,-0.07738,,,16.64000,7.70226,2,up|hot|pos
2025-09-25,45600.07031,45824.69141,45503.30859,45754.92969,127200000,0.00273,-0.00874,73.38212,947.45926,136.11857,0.87828,4.90005,95.06509,90.20406,36.45276,5.28228,4.19092,5.57743,-0.28466,-0.07582,-0.28397,,,16.18000,-2.76442,3,up|hot|pos
2025-09-26,45634.19922,45766.76953,45354.98828,45354.98828,147500000,-0.00874,-0.00686,67.06304,923.57986,89.79134,0.77013,3.74846,63.32677,82.96698,37.45607,3.46122,3.97938,5.56866,-0.50091,0.77094,-0.13226,,,16.74000,3.46106,4,up|high|pos
2025-09-29,45113.28906,45152.69922,44890.19922,45043.75000,130500000,-0.00686,-0.00247,62.54900,869.51769,28.58333,0.68772,2.80758,40.39589,66.26259,37.11756,1.51276,3.74742,5.57149,0.59018,0.74620,0.26918,,,15.29000,-8.66189,0,up|high|pos
2025-09-30,45054.96094,45126.23047,44733.60156,44932.62891,160600000,-0.00247,-0.00850,60.97105,808.38789,-26.03717,0.64680,2.33913,32.20891,45.31052,36.41351,0.36747,3.27453,5.57225,0.26355,-0.30428,-0.26179,,,16.12000,5.42839,1,up|high|neg
2025-10-01,44831.94922,44874.42188,44357.64844,44550.85156,136700000,-0.00850,0.00866,55.76581,720.82660,-90.87877,0.54763,1.30871,12.92241,28.50907,34.88644,-0.78263,2.61985,5.52413,0.40908,-0.54215,0.39090,,,16.28000,0.99255,2,up|high|neg
